feature,importance_mean,importance_std
FLAG_DOCUMENT_3,4631.203006744385,1387.8347626112493
OCCUPATION_TYPE,4440.679278564453,1037.956277242157
PREV_RATE_DOWN_PAYMENT_MEAN,4262.17989692688,1087.4405430899521
AMT_INCOME_TOTAL,4245.035287475586,1269.9186508717603
PREV_AMT_APPLICATION_MEAN,4188.145497131348,1606.6645243602568
INCOME_PER_CHILD,4163.434652709961,1014.7032971651183
PREV_AMT_CREDIT_MEAN,3976.7869819641114,1564.1138669460438
BUREAU_CLOSED_COUNT,3916.9254734039305,920.7199561671288
DEF_30_CNT_SOCIAL_CIRCLE,3694.475608062744,335.5823242719868
REGION_RATING_CLIENT_W_CITY,3669.761823272705,557.5479035122572
INST_AMT_INSTALMENT_MEAN,3629.2738010406492,749.938629993502
PREV_APPROVED_COUNT,3546.843543243408,1096.0689307798477
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,3523.7233375549317,809.4978413321311
INST_PAYMENT_RATIO_MIN,3475.8538505554197,1084.8209884556445
TOTALAREA_MODE,3438.5704483032227,1254.6012438601056
PREV_AMT_GOODS_PRICE_MEAN,3394.1153034210206,539.5510934091401
PREV_AMT_APPLICATION_MAX,3312.9325057983397,658.2941881806959
AMT_REQ_CREDIT_BUREAU_QRT,3190.8442626953124,664.6265629270911
PREV_AMT_CREDIT_MIN,3143.1029365539553,1453.4983433062969
YEARS_BEGINEXPLUATATION_MODE,2981.2719181060793,623.940714316977
PREV_HOUR_APPR_PROCESS_START_MAX,2954.0212944030764,1526.2654786534952
HOUR_APPR_PROCESS_START,2909.7940647125242,1110.7283976247159
INST_NUM_INSTALMENT_VERSION_MAX,2824.4140022277834,544.5400733287681
PREV_AMT_APPLICATION_MIN,2824.109058380127,878.2146584395853
REG_CITY_NOT_LIVE_CITY,2805.246946334839,437.58683040457214
DEF_60_CNT_SOCIAL_CIRCLE,2758.8500854492186,915.9848111911589
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,2649.3514991760253,375.26629045357834
BASEMENTAREA_MODE,2594.098362731934,828.5052086119211
LANDAREA_MODE,2531.131788253784,873.1911834234832
PREV_RATE_DOWN_PAYMENT_MIN,2444.0184364318848,668.1121243538329
LANDAREA_AVG,2439.297780227661,827.3085735221954
NONLIVINGAREA_AVG,2383.6067489624024,863.7818069713824
LIVINGAREA_MODE,2363.1008361816407,426.10626826894514
PREV_AMT_DOWN_PAYMENT_MIN,2332.7845817565917,595.4068015741938
PREV_HOUR_APPR_PROCESS_START_MIN,2300.5244300842287,945.6261715798295
LIVINGAREA_AVG,2274.5571601867678,494.3650851422218
COMMONAREA_MODE,2232.7640586853026,888.4266200241958
BUREAU_SK_ID_BUREAU_COUNT,2159.0796447753905,439.53993190565296
APARTMENTS_MODE,2156.4312629699707,471.768862156943
YEARS_BEGINEXPLUATATION_AVG,2155.740615081787,492.3799801879242
FLAG_WORK_PHONE,2144.871790313721,262.31892923340536
NONLIVINGAREA_MODE,2132.68575592041,969.0488154149114
APARTMENTS_AVG,2109.2872245788576,723.450566258
YEARS_BEGINEXPLUATATION_MEDI,2097.627738189697,633.8389235206488
BASEMENTAREA_AVG,2079.811808013916,864.8403369279569
LIVINGAPARTMENTS_MODE,1986.5636878967284,221.14927319770152
WEEKDAY_APPR_PROCESS_START,1982.24719581604,608.4320535997448
COMMONAREA_AVG,1962.5490737915038,526.6683866684201
LANDAREA_MEDI,1943.3312622070312,629.4173954611708
APARTMENTS_MEDI,1913.6900924682618,633.2855723671763
FLOORSMAX_AVG,1872.436668395996,368.08685913194444
COMMONAREA_MEDI,1866.5775970458985,657.523842467964
YEARS_BUILD_MODE,1860.8127182006835,470.0569828688654
LIVINGAREA_MEDI,1799.8216598510742,517.5639248682428
NONLIVINGAREA_MEDI,1774.1180824279786,773.7352271880105
PREV_AMT_GOODS_PRICE_MAX,1708.2678562164306,330.5725152676921
